Id;Rango Edad;Tipo Contrato;Motivo;Personalidad;Estudiando;Hijos;Nucleo familiar Padres;Nucleo familiar Hermanos;Nucleo familiar Conyuge;Nucleo familiar Hijos;Nucleo familiar Otros;Sector ciudad Vive;Medio de Transporte;Tiempo Desplazamiento residencia turno;Personas viven hogar;Turno pref;Cabeza hogar;Tipo de compania Pref;Tipo Servicios Pref;Catéter Periférico Exp;Colostomía Exp;Discapacidad auditiva Exp;Discapacidad visual Exp;Drenes Exp;Glucometría Exp;Medicación aplicación endovenosa Exp;Nefrostomia Exp;Oxigeno Exp;Sonda Gastrostomía Exp;Sonda Naso gástrica Exp;Sonda Orogástrica Exp;Sonda Vesical Exp;Traqueostomía Exp;Temperamento Pref;Sector de la ciudad Prioridad;Turno Prioridad;Edad del paciente Prioridad;Tipo de transporte Prioridad;Numero de horas Prioridad;Genero del paciente Prioridad;Tiempo que le tomara desplazarse al sitio Prioridad;Enfermedad que padezca Prioridad;Tipo de servicio Prioridad;Tipo de compañía Prioridad;Temperamento del paciente Prioridad;Horarios de estudio Prioridad;Horarios de compromisos personales Prioridad;Nivel de conciencia del paciente  Prioridad;Ayuda que necesite el paciente para realizar actividades Prioridad;Contextura física del paciente Prioridad;Remuneración Pref;Postcirugía estética Exp;Binomio madre recién nacido Pref;Niños Pref;Adultos mayores Pref
11;35 a 50;Planta;Facilidades económicas.;Ansioso;No;Sí;Si;No;Si;Si;No;Sur Occidente (Bosa, Kennedy, Ciudad Bolívar);Transmilenio;Entre 1 y 2 horas;5;Cualquiera;No;Con familiar mayor de edad;Todas las anteriores;Si;Si;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;;Muy Importante;Muy Importante;Importante;Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;85;No;Me es indiferente;No;Sí
12;18 a 25;Prestación de servicios;Vocación y servicio.;Tranquilo;Sí;No;Si;Si;Si;No;No;Occidente (Fontibón, Engativá, Suba, Barrios Unidos, Puente Aranda);Transmilenio;Entre 30 minutos y 1 hora;3;Nocturno;Sí;Solo;Todas las anteriores;Si;Si;Si;No;Si;Si;No;Si;Si;Si;Si;No;Si;Si;;Muy Importante;Importante;Poco importante;Importante;Importante;Nada importante;Importante;Poco importante;Nada importante;Importante;Importante;Muy Importante;Poco importante;Poco importante;Poco importante;Muy Importante;70;Si;Me es indiferente;Sí;Sí
13;18 a 25;Prestación de servicios;Vocación y servicio.;Tranquilo;No;No;Si;Si;Si;No;No;Occidente (Fontibón, Engativá, Suba, Barrios Unidos, Puente Aranda);Transmilenio;Entre 1 y 2 horas;5;Cualquiera;No;Con un familiar;Todas las anteriores;No;No;No;No;Si;No;No;Si;Si;Si;No;No;Si;Si;;Muy Importante;Poco importante;Nada importante;Muy Importante;Importante;Nada importante;Muy Importante;Importante;Nada importante;Importante;Muy Importante;Nada importante;Importante;Nada importante;Poco importante;Muy Importante;70;No;Me es indiferente;Me es indiferente;Me es indiferente
14;25 a 35;Prestación de servicios;Vocación y servicio.;Tranquilo;No;Sí;No;No;No;Si;No;Occidente (Fontibón, Engativá, Suba, Barrios Unidos, Puente Aranda);Transmilenio;Entre 30 minutos y 1 hora;3;Diurno;Sí;Con un familiar;IPS;No;No;Si;Si;Si;Si;No;No;No;Si;Si;No;Si;Si;;Importante;Importante;Poco importante;Muy Importante;Muy Importante;Importante;Muy Importante;Muy Importante;Muy Importante;Importante;Importante;Importante;Importante;Importante;Importante;Muy Importante;86;Si;Sí;No;Sí
15;35 a 50;Planta;Vocación y servicio.;Tranquilo;No;Sí;No;No;No;Si;No;Sur Occidente (Bosa, Kennedy, Ciudad Bolívar);Transmilenio;Entre 1 y 2 horas;3;Nocturno;Sí;Con familiar mayor de edad;Domicilio;No;No;No;Si;Si;Si;No;Si;Si;Si;Si;No;Si;Si;;Importante;Importante;Importante;Importante;Importante;Importante;Muy Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;47000;No;No;No;Sí
16;25 a 35;Prestación de servicios;Vocación y servicio.;Tranquilo;No;No;Si;Si;Si;No;No;Sur Occidente (Bosa, Kennedy, Ciudad Bolívar);Transmilenio;Entre 1 y 2 horas;4;Diurno;No;Con empleada permanente;IPS;No;Si;No;No;No;Si;Si;No;Si;Si;No;No;No;No;;Muy Importante;Muy Importante;Nada importante;Muy Importante;Importante;Nada importante;Muy Importante;Poco importante;Importante;Muy Importante;Muy Importante;Nada importante;Poco importante;Muy Importante;Importante;Muy Importante;75000;No;Sí;Sí;Sí
17;35 a 50;Prestación de servicios;Vocación y servicio.;Tranquilo;No;No;Si;Si;No;No;No;Sur (San Cristóbal, Usme, Tunjuelito, Antonio Nariño, Rafael Uribe, Sumapaz);Transmilenio;Entre 1 y 2 horas;1;Nocturno;Sí;Con un familiar;Todas las anteriores;No;Si;No;No;Si;Si;No;No;Si;Si;Si;No;Si;Si;;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;100000;No;Sí;Sí;Sí
18;Mas de 50;Planta;Vocación y servicio.;Tranquilo;No;Sí;No;No;Si;Si;No;Occidente (Fontibón, Engativá, Suba, Barrios Unidos, Puente Aranda);SITP;Entre 30 minutos y 1 hora;3;Nocturno;No;Con empleada permanente;Domicilio;Si;Si;No;No;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;;Importante;Muy Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Muy Importante;Importante;Importante;Importante;Importante;Importante;80000;No;No;No;Sí
19;18 a 25;Prestación de servicios;Vocación y servicio.;Tranquilo;Sí;No;Si;Si;No;No;No;Sur (San Cristóbal, Usme, Tunjuelito, Antonio Nariño, Rafael Uribe, Sumapaz);Transmilenio;Entre 1 y 2 horas;1;Cualquiera;No;Solo;IPS;Si;Si;No;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;;Muy Importante;Muy Importante;Poco importante;Muy Importante;Nada importante;Poco importante;Muy Importante;Poco importante;Muy Importante;Importante;Importante;Muy Importante;Muy Importante;Poco importante;Importante;Poco importante;80000;Si;No;No;Sí
20;25 a 35;Prestación de servicios;Vocación y servicio.;Reservado;No;Sí;Si;Si;No;Si;No;Sur Occidente (Bosa, Kennedy, Ciudad Bolívar);Transmilenio;Mas de 2 horas;2;Diurno;Sí;Con familiar mayor de edad;IPS;No;No;No;No;No;Si;Si;No;Si;Si;Si;Si;Si;Si;;Importante;Importante;Importante;Muy Importante;Muy Importante;Importante;Importante;Importante;Muy Importante;Muy Importante;Muy Importante;Importante;Muy Importante;Importante;Muy Importante;Muy Importante;80;No;No;Me es indiferente;Sí
21;35 a 50;Prestación de servicios;Vocación y servicio.;Tranquilo;No;No;Si;Si;Si;No;No;Occidente (Fontibón, Engativá, Suba, Barrios Unidos, Puente Aranda);Transmilenio;Entre 1 y 2 horas;Mas de 5;Cualquiera;Sí;Solo;IPS;Si;Si;No;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Importante;Muy Importante;Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;80000;No;No;No;Sí
22;25 a 35;Planta;Vocación y servicio.;Tranquilo;Sí;No;Si;Si;No;No;Si;Occidente (Fontibón, Engativá, Suba, Barrios Unidos, Puente Aranda);Bicicleta;Entre 30 minutos y 1 hora;1;Nocturno;Sí;Con empleada permanente;Domicilio;No;Si;Si;Si;Si;Si;No;No;Si;Si;Si;Si;Si;Si;;Importante;Importante;Importante;Muy Importante;Muy Importante;Importante;Muy Importante;Importante;Importante;Importante;Muy Importante;Muy Importante;Importante;Importante;Importante;Muy Importante;90;No;No;Sí;Sí
23;25 a 35;Planta;Vocación y servicio.;Tranquilo;No;No;Si;Si;No;No;Si;Sur Occidente (Bosa, Kennedy, Ciudad Bolívar);Transmilenio;Entre 1 y 2 horas;5;Cualquiera;No;Con familiar mayor de edad;Domicilio;No;Si;No;No;Si;Si;No;Si;Si;Si;Si;No;Si;Si;;Importante;Poco importante;Importante;Muy Importante;Importante;Nada importante;Muy Importante;Importante;Poco importante;Importante;Muy Importante;Nada importante;Nada importante;Muy Importante;Importante;Importante;70000;Si;No;No;Sí
24;Mas de 50;Planta;Vocación y servicio.;Reservado;No;Sí;No;No;No;Si;No;Occidente (Fontibón, Engativá, Suba, Barrios Unidos, Puente Aranda);SITP;Entre 30 minutos y 1 hora;2;Cualquiera;Sí;Con familiar mayor de edad;Domicilio;No;Si;Si;Si;Si;Si;Si;No;Si;No;Si;No;Si;Si;;Importante;Importante;Importante;Muy Importante;Muy Importante;Importante;Muy Importante;Importante;Importante;Muy Importante;Muy Importante;Importante;Importante;Importante;Muy Importante;Importante;80;Si;No;No;Sí
25;35 a 50;Planta;Vocación y servicio.;Reservado;No;Sí;Si;No;No;Si;No;Sur Occidente (Bosa, Kennedy, Ciudad Bolívar);Transmilenio;Mas de 2 horas;3;Nocturno;Sí;Con un familiar;Todas las anteriores;Si;Si;Si;No;Si;Si;No;No;Si;Si;Si;No;Si;Si;;Muy Importante;Importante;Importante;Muy Importante;Muy Importante;Importante;Muy Importante;Muy Importante;Importante;Muy Importante;Muy Importante;Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;100000;No;Me es indiferente;Sí;Sí
26;Mas de 50;Planta;Vocación y servicio.;Tranquilo;No;Sí;No;No;Si;Si;Si;Occidente (Fontibón, Engativá, Suba, Barrios Unidos, Puente Aranda);SITP;Entre 1 y 2 horas;3;Nocturno;Sí;Con familiar mayor de edad;Todas las anteriores;Si;Si;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;;Muy Importante;Muy Importante;Importante;Muy Importante;Importante;Importante;Importante;Muy Importante;Muy Importante;Importante;Importante;Muy Importante;Importante;Importante;Importante;Importante;80;No;No;No;Sí
27;Mas de 50;Planta;Vocación y servicio.;Hablador;No;No;Si;Si;Si;No;No;Occidente (Fontibón, Engativá, Suba, Barrios Unidos, Puente Aranda);SITP;Entre 1 y 2 horas;4;Diurno;Sí;Con empleada permanente;IPS;Si;Si;No;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;70;No;No;No;Sí
28;25 a 35;Prestación de servicios;Vocación y servicio.;Tranquilo;No;Sí;Si;No;Si;Si;Si;Sur Occidente (Bosa, Kennedy, Ciudad Bolívar);Transmilenio;Entre 1 y 2 horas;Mas de 5;Nocturno;No;Solo;IPS;No;Si;No;Si;Si;Si;Si;Si;Si;No;No;Si;Si;No;;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Importante;Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;70;No;Sí;Sí;Sí
29;35 a 50;Planta;Vocación y servicio.;Tranquilo;Sí;Sí;No;No;Si;Si;No;Sur (San Cristóbal, Usme, Tunjuelito, Antonio Nariño, Rafael Uribe, Sumapaz);Transmilenio;Mas de 2 horas;3;Cualquiera;Sí;Con un familiar;Todas las anteriores;Si;Si;No;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;;Muy Importante;Importante;Importante;Muy Importante;Poco importante;Poco importante;Importante;Muy Importante;Importante;Nada importante;Poco importante;Poco importante;Importante;Poco importante;Poco importante;Muy Importante;100;Si;Me es indiferente;Me es indiferente;Sí
30;Mas de 50;Planta;Vocación y servicio.;Reservado;Sí;Sí;Si;Si;No;Si;Si;Sur Occidente (Bosa, Kennedy, Ciudad Bolívar);Transmilenio;Mas de 2 horas;Mas de 5;Nocturno;Sí;Con empleada permanente;IPS;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;No;Si;Si;;Poco importante;Muy Importante;Poco importante;Muy Importante;Importante;Nada importante;Muy Importante;Muy Importante;Importante;Importante;Importante;Nada importante;Nada importante;Importante;Importante;Importante;90;Si;No;No;Sí
31;25 a 35;Prestación de servicios;Vocación y servicio.;Tranquilo;No;Sí;No;No;Si;Si;No;Sur Occidente (Bosa, Kennedy, Ciudad Bolívar);Transmilenio;Entre 1 y 2 horas;Mas de 5;Nocturno;No;Solo;Todas las anteriores;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;No;;Importante;Muy Importante;Poco importante;Poco importante;Importante;Poco importante;Importante;Poco importante;Importante;Importante;Poco importante;Nada importante;Importante;Poco importante;Poco importante;Importante;90;Si;Sí;Sí;Sí
32;18 a 25;Prestación de servicios;Vocación y servicio.;Reservado;Sí;No;Si;Si;No;No;Si;Occidente (Fontibón, Engativá, Suba, Barrios Unidos, Puente Aranda);Transmilenio;Entre 1 y 2 horas;4;Nocturno;No;Con familiar mayor de edad;Todas las anteriores;Si;No;No;No;No;Si;Si;No;Si;Si;Si;Si;Si;Si;;Muy Importante;Importante;Poco importante;Muy Importante;Muy Importante;Poco importante;Muy Importante;Poco importante;Poco importante;Poco importante;Importante;Muy Importante;Muy Importante;Poco importante;Importante;Importante;90000;No;Sí;Sí;Sí
